BREMBOX-1,Frenos,BREMBO,frenos de aleacion resistente,1280,133.32
ROJAX-1,Llanta de derrapes,ROJA,Llanta hecha de caucho para derrapes,4000,941.5
BBSX-1,Rin de 15pulgadas,BBS,Rin con forma estrellada de 6 puntas,1600,518.26
TOYOTIRESX-1,Neumatico de Competicion,TOYOTIRES,Neumatico hecho de caucho de alta calidad,1790,771.1
3DSMX-1,Rin de 14 pulgadas,3DSM,Rin de forma estrellada de 4 estrellas,2000,186.99
TESTPROV2X-1,nosesilogre,TESTPROV2,xqwe,1300,168.05
BBSX-2,RinDorado,BBS,Rin de color dorado,1500,972.8
TOYOTIRESX-2,modPrecio,TOYOTIRES,modificaprecio,2400,7222.95
TESTPROV2X-2,testStock,TESTPROV2,clashroyale,2000,577.84
TESTPROV2X-3,productoX,TESTPROV2,prueba de repeticion,1800,104.41
